"";"Reading";"Listening music";"Cinema";"Show";"Exhibition";"Computer";"Sport";"Walking";"Travelling";"Playing music";"Collecting";"Volunteering";"Mechanic";"Gardening";"Knitting";"Cooking";"Fishing";"TV";"Sex";"Age";"Marital status";"Profession";"nb.activitees"
"11000210";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"F";"(55,65]";"Married";"Management";11
"11000410";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"4";"M";"(45,55]";"Married";NA;9
"11000610";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"F";"(25,35]";"Remarried";"Management";5
"11000710";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"M";"(75,85]";"Married";NA;5
"11000810";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(55,65]";"Married";"Employee";6
"11000910";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"M";"(45,55]";"Married";"Manual labourer";2
"11001010";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"M";"(35,45]";"Married";"Employee";5
"11001110";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"M";"[15,25]";"Single";NA;7
"11001210";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(35,45]";"Single";"Management";10
"11001310";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"F";"(25,35]";"Single";"Employee";8
"11001410";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"F";"[15,25]";"Single";"Employee";4
"11001910";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"F";"(75,85]";"Divorcee";"Management";8
"11002110";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(35,45]";"Married";"Employee";9
"11002510";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"F";"[15,25]";"Single";NA;12
"11002810";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"4";"F";"(65,75]";"Divorcee";NA;3
"11003210";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"F";"(45,55]";"Married";"Employee";3
"11003310";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"M";"(55,65]";"Single";NA;7
"11003410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"F";"(45,55]";"Married";"Employee";1
"11003510";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(65,75]";"Married";"Foreman";6
"11003610";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"M";"(25,35]";"Single";"Management";11
"11003710";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"2";"M";"(45,55]";"Remarried";"Management";12
"11003810";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"M";"(45,55]";"Married";"Employee";1
"11004010";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"3";"F";"(25,35]";"Single";"Management";11
"11004210";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"F";"(25,35]";"Single";"Management";11
